,제목,"저자, 출간일"
0,비욘드 더 스토리 BEYOND THE STORY,"['강명석,방탄소년단 저 ', ' 2023년 07월']"
1,세이노의 가르침,"['세이노(SayNo) 저 ', ' 2023년 03월']"
2,문과 남자의 과학 공부,"['유시민 저 ', ' 2023년 06월']"
3,역행자 확장판,"['자청 저 ', ' 2023년 05월']"
4,블루 아카이브 오피셜 아트웍스 한정판,"['신민섭 역/NEXON GAMES 감수 ', ' 2023년 08월']"
5,나는 어떻게 삶의 해답을 찾는가,"['고명환 저 ', ' 2023년 06월']"
6,사장학개론,"['김승호 저 ', ' 2023년 04월']"
7,도둑맞은 집중력,"['요한 하리 저/김하현 역 ', ' 2023년 04월']"
8,모든 삶은 흐른다,"['로랑스 드빌레르 저/이주영 역 ', ' 2023년 04월']"
9,메리골드 마음 세탁소,"['윤정은 저 ', ' 2023년 03월']"
10,블루 아카이브 오피셜 아트웍스,"['신민섭 역/NEXON GAMES 감수 ', ' 2023년 08월']"
11,유연함의 힘,"['수잔 애쉬포드 저/김정혜 역 ', ' 2023년 05월']"
12,열혈강호 88,"['전극진 글/양재현 그림 ', ' 2023년 06월']"
13,꿀벌의 예언 1,"['베르나르 베르베르 저/전미연 역 ', ' 2023년 06월']"
14,흔한남매의 흔한 호기심 9,"['흔한남매 원저/유난희 그림/이정모,흔한컴퍼니 감수 ', ' 2023년 06월']"
15,명탐정 코난 103,"['아오야마 고쇼 글그림 ', ' 2023년 06월']"
16,돈의 속성 300쇄 리커버,"['김승호 저 ', ' 2020년 06월']"
17,꿀벌의 예언 2,"['베르나르 베르베르 저/전미연 역 ', ' 2023년 06월']"
18,원씽 THE ONE THING,"['게리 켈러,제이 파파산 저/구세희 역 ', ' 2013년 08월']"
19,설민석의 한국사 대모험 25,"['스토리박스,설민석 글/정현희 그림/강석화 감수 ', ' 2023년 05월']"
